code;traduction;titre;nb_rattachements;nb_concept;passages_concept;lectures_ouverture
60-0228;SKN;Les Conférences;2;2;Actes 4:0 | Apocalypse 21:0;
60-0229;SKN;La Tempête approche;2;2;Ephesiens 4:30 | Jean 5:24;
60-0301;SKN;Il prend soin de vous;3;2;Genese 14:0 | Hebreux 10:0;
60-0302;SKN;Dès ce moment;1;1;Jean 5:19;
60-0303;SKN;La Pluie de la première et de l'arrière saison;3;0;;Esaie 21:0 | Esaie 21:11 | Zacharie 14:6
60-0304;SKN;Avoir soif de la vie;1;1;Psaumes 63:0;
60-0305;SKN;N’ayez Pas Peur, C’est Moi;2;1;Jean 5:19;
60-0308;SKN;Le Discernement De L'Esprit (L’Esprit Parle Par Le Prophète);6;5;Jean 13:35 | Jean 14:7 | Marc 16:0 | Psaumes 22:0 | Psaumes 23:0;Psaumes 105:0
60-0308;VGR;Le discernement de l’esprit;6;5;Jean 13:35 | Jean 14:7 | Marc 16:0 | Psaumes 22:0 | Psaumes 23:0;Psaumes 105:0
60-0309;SKN;Pourquoi?;1;1;Deuteronome 14:0;
60-0311;SKN;La Foi de marie;1;1;Esaie 9:6;
60-0313;SKN;Ecoutez-Le;3;3;Hebreux 13:8 | Jean 14:0 | Jean 5:19;
60-0326;SKN;Le Dieu immuable;2;2;Jean 5:19 | Job 23:3;
60-0329;SKN;C'est Moi, N'ayez Pas Peur;2;2;Jean 4:0 | Jean 5:24;
60-0331;SKN;Dès Ce Moment;1;1;Esaie 9:6;
60-0401E;SKN;La Reine De Séba;4;4;Hebreux 13:8 | Jean 14:0 | Jean 4:0 | Jean 5:19;
60-0402;SKN;Crois-tu cela ?;2;2;Jean 5:19 | Marc 11:23;
60-0402;VGR;Crois-tu cela?;2;2;Jean 5:19 | Marc 11:23;
60-0403;SKN;Pareil À L’Aigle Qui Éveille;5;3;Actes 19:0 | Deuteronome 32:11 | Jean 4:0;
60-0417M;SKN;Allez dire! Courir sans un message;4;4;1 Corinthiens 15:0 | Jean 14:12 | Marc 11:23 | Marc 16:0;
60-0417M;VGR;Allez dire;3;3;Jean 14:12 | Marc 11:23 | Marc 16:0;
60-0417S;VGR;Je sais;2;1;Job 19:0;Matthieu 28:0
60-0417S;SKN;Je sais;1;0;;Matthieu 28:0
60-0515E;SKN;L'Epitre Aux Ephésiens Est Comparable Au Livre De Josué;9;8;1 Pierre 1:19-20 | Apocalypse 13:0 | Apocalypse 13:8 | Apocalypse 17:8 | Ephesiens 4:30 | Genese 1:26 | Genese 2:0 | Joel 2:28;
60-0515E;VGR;L’adoption #1;8;7;Apocalypse 13:0 | Apocalypse 13:8 | Apocalypse 17:8 | Ephesiens 4:30 | Genese 1:26 | Genese 2:0 | Joel 2:28;
60-0515M;SKN;Le Roi rejeté;1;1;Marc 16:0;
60-0515M;VGR;Le Roi rejeté;1;1;Marc 16:0;
60-0518;SKN;Les Fils De Dieu Manifestés;12;10;Apocalypse 17:8 | Ephesiens 1:5 | Esaie 28:18 | Esaie 66:0 | Genese 1:0 | Genese 2:0 | Hebreux 4:0 | Hebreux 6:0 | Jean 1:17 | Romains 8:0;
60-0518;VGR;L’adoption #2;12;10;Apocalypse 17:8 | Ephesiens 1:5 | Esaie 28:18 | Esaie 66:0 | Genese 1:0 | Genese 2:0 | Hebreux 4:0 | Hebreux 6:0 | Jean 1:17 | Romains 8:0;
60-0522E;SKN;L'Adoption;10;10;Ephesiens 4:30 | Esaie 9:6 | Galates 1:8 | Genese 14:0 | Genese 14:18 | Genese 2:0 | Jean 17:17 | Job 7:27 | Matthieu 16:16 | job 7:17;
60-0522E;VGR;L’adoption #4;10;10;Ephesiens 4:30 | Esaie 9:6 | Galates 1:8 | Genese 14:0 | Genese 14:18 | Genese 2:0 | Jean 17:17 | Job 7:27 | Matthieu 16:16 | job 7:17;
60-0522M;SKN;L'Adoption (La Position En Christ);8;6;Actes 19:0 | Actes 9:5 | Galates 1:0 | Hebreux 9:11 | Jean 17:17 | Matthieu 28:19;
60-0522M;VGR;L’adoption #3;8;6;Actes 19:0 | Actes 9:5 | Galates 1:0 | Hebreux 9:11 | Jean 17:17 | Matthieu 28:19;
60-0604;SKN;À Qui Irons-Nous?;5;4;Jean 10:0 | Jean 14:7 | Jean 4:0 | Jean 5:19;Jean 6:66
60-0604;VGR;À qui irions-nous?;4;4;Jean 10:0 | Jean 4:0 | Jean 5:19 | Jean 6:66;
60-0606;SKN;À Qui Irions-Nous?;4;4;Jean 10:0 | Jean 17:17 | Jean 4:0 | Jean 5:24;
60-0607;SKN;Entendre, reconnaitre et agir;2;2;Ephesiens 4:30 | Jean 5:19;
60-0608;SKN;Tenir Des Conférences;1;1;1 Timothee 3:16;
60-0609;SKN;N’Ayez Pas Peur;4;2;Hebreux 4:15 | Jean 4:0;Matthieu 14:0
60-0611B;SKN;La Communion;3;3;1 Jean 5:7 | Romains 5:0 | Romains 8:0;
60-0611E;SKN;La Foi, C'est Le Sixième Sens;1;1;Hebreux 11:0;
60-0612;SKN;Parle À Ce Rocher;1;1;Jean 5:24;
60-0626;SKN;Les Réalités Infaillibles Du Dieu Vivant;5;5;Actes 19:0 | Actes 2:38 | Esaie 28:11 | Esaie 35:0 | Genese 1:26;
60-0626;VGR;Les réalités infaillibles du Dieu vivant;4;4;Actes 19:0 | Actes 2:38 | Esaie 35:0 | Genese 1:26;
60-0630;SKN;L'Approche À Laquelle Dieu A Pourvue Pour Communier;1;1;Romains 5:1;
60-0708;SKN;Messieurs, Nous Voudrions Voir Jésus;4;4;Hebreux 13:8 | Jean 1:0 | Jean 4:0 | Jean 5:19;
60-0709;SKN;Approche À Laquelle Dieu A Pourvue Pour La Communion;11;10;1 Jean 1:0 | 1 Jean 1:7 | Ephesiens 4:30 | Ephesiens 6:0 | Genese 1:0 | Hebreux 13:12 | Jean 4:0 | Jean 5:24 | Nombres 19:0 | Romains 5:1;
60-0710;SKN;La Reine De Séba;4;4;1 Timothee 3:0 | Matthieu 12:0 | Matthieu 12:42 | Matthieu 5:0;
60-0711;SKN;La Porte dans la porte;5;4;Actes 2:38 | Hebreux 13:8 | Jean 14:7 | Marc 16:0;
60-0712;SKN;Ecoutez-le (adoption);2;2;Apocalypse 1:0 | Jean 5:24;
60-0713;SKN;L'Aveugle Bartimée;3;3;Actes 19:0 | Jean 4:0 | Jean 5:19;
60-0716;SKN;Dès ce moment;4;4;Esaie 9:6 | Hebreux 13:8 | Jean 15:0 | Jean 5:19;
60-0720;SKN;C’Est Moi;3;2;Jean 5:19 | Marc 16:0;Hebreux 13:8
60-0722;SKN;Sentinelle, Que Dis-Tu De La Nuit?;1;1;Jean 5:19;
60-0723;SKN;Parle à ce rocher et il donnera ses eaux;1;1;Psaumes 22:0;
60-0724;SKN;La Parole immuable de Dieu (Dieu tient sa parole);8;8;Actes 19:0 | Actes 2:0 | Apocalypse 13:0 | Esaie 9:6 | Hebreux 4:0 | Jean 14:0 | Jean 5:19 | Matthieu 24:35;
60-0729;SKN;Ce qu’il faut pour triompher de toute incrédulité: notre Foi;4;4;Hebreux 13:8 | Jean 14:7 | Jean 5:24 | Psaumes 103:3;
60-0731;SKN;Montre-Nous Le Père Et Cela Nous Suffit;2;2;Actes 19:0 | Apocalypse 1:0;
60-0802;SKN;Jéhovah-Jiré 2  (El-Shaddaï);2;2;Ephesiens 4:30 | Hebreux 10:0;
60-0803;SKN;Jéhovah-Jiré 3  (Abraham);6;5;Apocalypse 13:0 | Esaie 10:0 | Esther 4:0 | Jean 5:24 | Psaumes 103:3;Genese 22:0
60-0804;SKN;Pareil À L’Aigle Qui Éveille Sa Couvée;2;2;Job 7:27 | job 7:4;
60-0805;SKN;L’Agneau Et La Colombe;2;2;Galates 5:0 | Jean 4:0;
60-0806;SKN;Ecoutez-Le;5;4;Actes 2:38 | Esaie 1:8 | Hebreux 11:0 | Jean 14:0;
60-0807;SKN;Débat sur le parler en langues;15;10;Actes 10:44 | Actes 10:49 | Actes 19:5 | Actes 19:6 | Actes 2:0 | Actes 2:38 | Actes 2:4 | Actes 8:0 | actes 10:44 | actes 10:46;
60-0911E;SKN;Les Cinq identifications précises de la vraie Eglise du Dieu vivant;42;35;1 Corinthiens 12:0 | Actes 19:0 | Actes 1:0 | Actes 1:8 | Actes 2:38 | Actes 5:32 | Actes 7:38 | Apocalypse 13:0 | Apocalypse 17:0 | Colossiens 1:0 | Colossiens 1:17 | Colossiens 3:26 | Ephesiens 1:0 | Ephesiens 1:22 | Ephesiens 4:30 | Ephesiens 5:25 | Galates 3:26 | Hebreux 11:0 | Hebreux 12:13 | Hebreux 13:12 | Hebreux 13:8 | Jean 14:0 | Jean 14:12 | Jean 3:5 | Luc 24:0 | Luc 24:26 | Luc 24:29 | Luc 24:49 | Marc 16:0 | Matthieu 10:0 | Matthieu 10:1 | Matthieu 16:0 | Matthieu 16:18 | Matthieu 28:20 | colossiens 3:11;
60-0911E;VGR;Cinq identifications précises de la véritable Église du Dieu vivant;37;31;Actes 19:0 | Actes 1:0 | Actes 1:8 | Actes 5:32 | Actes 7:38 | Apocalypse 13:0 | Apocalypse 17:0 | Colossiens 1:0 | Colossiens 1:17 | Colossiens 3:26 | Ephesiens 4:0 | Ephesiens 4:30 | Ephesiens 5:25 | Galates 3:26 | Galates 3:26-28 | Genese 1:0 | Hebreux 11:0 | Hebreux 13:12 | Hebreux 13:8 | Jean 14:0 | Jean 14:12 | Jean 3:5 | Luc 24:0 | Luc 24:46 | Luc 24:49 | Marc 16:0 | Matthieu 10:0 | Matthieu 10:1 | Matthieu 16:18 | Matthieu 28:20 | colossiens 3:11;Matthieu 16:18
60-0911M;SKN;Je Serai Avec Toi Comme J'ai Eté Avec Moïse;3;2;Josue 1:0 | Marc 16:0;Josue 1:0
60-0911M;VGR;Je serai avec toi, comme J’ai été avec Moïse;3;2;Josue 1:0 | Marc 16:0;Josue 1:0
60-0925;SKN;Ce Jour-Là Sur Le Calvaire;1;1;Matthieu 27:0;
60-0925;VGR;Ce jour-là sur le Calvaire;1;1;Matthieu 27:0;
60-1002;SKN;Le Parent Rédempteur;2;2;1 Timothee 3:16 | Jean 5:19;
60-1113;SKN;La Condamnation par représentation;6;6;Actes 19:0 | Deuteronome 30:0 | Galates 1:8 | Genese 1:11 | Hebreux 13:0 | Jacques 5:14;
60-1113;VGR;La condamnation par représentation;6;6;Actes 19:0 | Deuteronome 30:0 | Galates 1:8 | Genese 1:11 | Hebreux 13:0 | Jacques 5:14;
60-1124;SKN;C’est Moi;2;2;Apocalypse 17:15 | Jean 14:7;
60-1125;SKN;Une Conférence;6;6;Actes 2:0 | Actes 4:0 | Exode 19:0 | Job 7:27 | Joel 2:28 | job 7:4;
60-1126;SKN;Pourquoi?;3;3;Actes 2:38 | Hebreux 13:8 | Psaumes 103:3;
60-1127E;SKN;La Reine Du Midi;2;2;Jean 4:0 | Psaumes 63:0;
60-1127M;SKN;Il N’En Était Pas Ainsi Au Commencement;4;4;Actes 19:0 | Actes 2:0 | Genese 1:0 | Marc 11:22;
60-1204E;SKN;La Vision de Patmos (La Vision de Patmos de Jean);31;28;Apocalypse 17:15 | Apocalypse 19:0 | Apocalypse 19:15 | Apocalypse 21:23 | Apocalypse 7:0 | Daniel 7:0 | Daniel 7:9 | Ephesiens 4:30 | Esaie 28:0 | Esaie 28:8 | Esaie 35:0 | Esther 6:0 | Esther 8:0 | Hebreux 4:0 | Hebreux 4:2 | Jean 15:0 | Jean 17:17 | Jean 5:22 | Malachie 4:0 | Marc 11:22 | Marc 16:0 | Matthieu 10:0 | Matthieu 11:0 | Matthieu 17:0 | Matthieu 24:0 | Matthieu 25:0 | Matthieu 25:33 | Zacharie 4:1;
60-1204E;VGR;La vision de Patmos;38;28;Apocalypse 13:8 | Apocalypse 17:15 | Apocalypse 19:0 | Apocalypse 19:11 | Apocalypse 19:15 | Apocalypse 21:23 | Apocalypse 7:0 | Daniel 7:0 | Daniel 7:9 | Ephesiens 4:30 | Esaie 28:0 | Esaie 28:8 | Esaie 35:0 | Hebreux 4:0 | Hebreux 4:2 | Jean 15:0 | Jean 17:17 | Jean 5:22 | Malachie 4:0 | Marc 11:22 | Marc 16:0 | Matthieu 10:0 | Matthieu 11:0 | Matthieu 17:0 | Matthieu 24:0 | Matthieu 25:0 | Matthieu 25:33 | Zacharie 4:1;
60-1204M;SKN;La Révélation de Jésus-Christ;21;17;Actes 19:0 | Actes 2:36 | Apocalypse 11:0 | Apocalypse 15:3 | Apocalypse 17:0 | Apocalypse 22:0 | Esaie 9:6 | Genese 45:0 | Hebreux 11:0 | Hebreux 13:8 | Jean 14:7 | Jean 5:7 | Marc 16:0 | Matthieu 16:18 | Matthieu 1:18 | Matthieu 28:19 | Zacharie 12:0;
60-1204M;VGR;La Révélation de Jésus-Christ;23;20;Actes 19:0 | Actes 2:36 | Apocalypse 11:0 | Apocalypse 15:3 | Apocalypse 17:0 | Apocalypse 1:0 | Apocalypse 22:0 | Apocalypse 4:0 | Esaie 9:6 | Genese 45:0 | Hebreux 11:0 | Hebreux 13:8 | Jean 14:12 | Jean 14:7 | Jean 5:7-8 | Marc 16:0 | Matthieu 16:18 | Matthieu 1:18 | Matthieu 28:19 | Zacharie 12:0;
60-1205;SKN;L'Age de l'Eglise d'Ephese;8;8;Actes 19:0 | Actes 2:0 | Galates 1:8 | Hebreux 11:0 | Hebreux 13:8 | Hebreux 6:0 | Marc 16:0 | Matthieu 5:0;
60-1205;VGR;L’Âge de l’Église d’Éphèse;9;9;Actes 19:0 | Actes 2:0 | Galates 1:8 | Hebreux 11:0 | Hebreux 13:8 | Hebreux 6:0 | Jean 6:0 | Marc 16:0 | Matthieu 5:0;
60-1206;SKN;L'Age de l'Eglise de Smyrne;1;1;Exode 19:0;
60-1206;VGR;L’Âge de l’Église de Smyrne;1;1;Exode 19:0;
60-1207;SKN;L'Age de l'Eglise de Pergame;10;8;Actes 2:38 | Apocalypse 17:0 | Hebreux 4:0 | Hebreux 4:12 | Jean 1:0 | Matthieu 28:19 | Nombres 22:0 | Nombres 23:9;
60-1207;VGR;L’Âge de L’Église de Pergame;9;8;Actes 2:38 | Apocalypse 17:0 | Hebreux 4:0 | Hebreux 4:12 | Jean 1:0 | Matthieu 28:19 | Nombres 22:0 | Nombres 23:9;
60-1208;VGR;L’Âge de l’Église de Thyatire;7;6;Apocalypse 13:0 | Apocalypse 13:14 | Apocalypse 13:6 | Apocalypse 17:0 | Hebreux 4:0 | Marc 16:0;
60-1208;SKN;L'Age de l'Eglise de Thyatire;7;6;Apocalypse 13:14 | Apocalypse 13:6 | Apocalypse 13:8 | Apocalypse 17:0 | Hebreux 4:0 | Marc 16:0;
60-1209;SKN;L'Age de l'Eglise de Sardes;8;8;Actes 19:5 | Apocalypse 13:0 | Apocalypse 17:0 | Galates 1:8 | Hebreux 13:12 | Luc 24:49 | Marc 16:0 | Romains 5:1;
60-1209;VGR;L’Âge de l’Église de Sardes;8;8;Actes 19:5 | Apocalypse 13:0 | Apocalypse 17:0 | Galates 1:8 | Hebreux 13:12 | Luc 24:49 | Marc 16:0 | Romains 5:1;
60-1210;SKN;L'Age de l'Eglise de Philadelphie;29;25;Actes 15:0 | Actes 15:14 | Actes 5:19 | Actes 9:0 | Apocalypse 1:1 | Apocalypse 21:0 | Apocalypse 2:13 | Apocalypse 2:17 | Apocalypse 3:0 | Apocalypse 3:7 | Daniel 12:3 | Ephesiens 2:19 | Ephesiens 3:15 | Galates 1:8 | Jean 10:17 | Jean 10:7 | Jean 17:17 | Jean 17:7 | Jean 5:19 | Marc 16:0 | Matthieu 16:18 | Matthieu 1:18 | Matthieu 28:19 | Romains 2:29 | Romains 5:1;
60-1210;VGR;L’Âge de l’Église de Philadelphie;24;22;Actes 15:0 | Actes 15:14 | Actes 9:0 | Apocalypse 21:0 | Apocalypse 2:13 | Apocalypse 2:17 | Apocalypse 3:0 | Apocalypse 3:7 | Daniel 12:3 | Ephesiens 2:19 | Ephesiens 3:15 | Galates 1:8 | Jean 10:17 | Jean 10:7 | Jean 17:17 | Jean 17:7 | Jean 5:19 | Marc 16:0 | Matthieu 16:18 | Matthieu 28:19 | Romains 2:29 | Romains 5:1;
60-1211E;SKN;L'Age de l'Eglise de Laodicée;10;9;Jacques 5:1 | Luc 1:0 | Luc 1:17 | Luc 1:67 | Luc 2:0 | Malachie 4:0 | Matthieu 17:10 | Matthieu 17:9 | Matthieu 2:0;
60-1211E;VGR;L’Âge de l’Église de Laodicée;10;10;Jacques 5:1 | Luc 1:0 | Luc 1:17 | Luc 1:67 | Luc 2:0 | Malachie 4:0 | Matthieu 17:10 | Matthieu 17:9 | Matthieu 2:0 | Romains 11:15-27;
60-1211M;SKN;Les Dix Vierges;25;17;Apocalypse 11:0 | Apocalypse 12:0 | Apocalypse 13:0 | Apocalypse 13:15 | Apocalypse 19:11 | Apocalypse 22:16 | Apocalypse 7:0 | Apocalypse 9:0 | Apocalypse 9:1-4 | Daniel 7:0 | Ephesiens 4:30 | Ezechiel 4:0 | Ezechiel 9:0 | Matthieu 21:0 | Matthieu 24:0 | Matthieu 24:24 | Romains 2:22;
60-1211M;VGR;Les dix vierges et les cent quarante-quatre mille Juifs;20;14;Apocalypse 11:0 | Apocalypse 12:0 | Apocalypse 13:0 | Apocalypse 13:15 | Apocalypse 22:16 | Apocalypse 7:0 | Daniel 7:0 | Ephesiens 4:30 | Ezechiel 4:0 | Ezechiel 9:0 | Matthieu 21:0 | Matthieu 24:0 | Matthieu 24:24 | Romains 2:22;
60-1218;SKN;Le Son Confus;19;16;Actes 2:38 | Actes 2:39 | Apocalypse 21:0 | Genese 22:0 | Hebreux 11:17 | Hebreux 11:17-19 | Hebreux 11:7 | Hebreux 13:12 | Jean 14:12 | Jean 15:0 | Jean 5:19 | Marc 16:0 | Matthieu 10:0 | Matthieu 17:0 | Matthieu 17:2 | Matthieu 24:35;
60-1218;VGR;Le son confus;16;13;Actes 2:38 | Apocalypse 21:0 | Genese 22:0 | Hebreux 11:0 | Hebreux 11:17 | Hebreux 13:12 | Jean 14:12 | Jean 15:0 | Jean 5:19 | Marc 16:0 | Matthieu 10:0 | Matthieu 17:0 | Matthieu 24:35;
60-1225;SKN;Le Don Enveloppé De Dieu;6;5;Actes 10:35 | Actes 2:38 | Apocalypse 1:20 | Apocalypse 20:0 | Matthieu 1:5;Luc 2:7
60-1225;VGR;Le Cadeau enveloppé de Dieu;6;5;Actes 10:35 | Actes 2:38 | Apocalypse 1:20 | Apocalypse 20:0 | Matthieu 1:5;Luc 2:7
60-1231;SKN;Apocalypse chapitre Quatre #1;12;10;Apocalypse 19:0 | Apocalypse 1:1-10 | Apocalypse 1:10 | Apocalypse 21:0 | Apocalypse 3:8 | Apocalypse 4:2 | Jean 10:0 | Jean 20:21 | Jean 21:20 | Matthieu 16:13;
60-1231;VGR;Apocalypse, chapitre quatre, 1re partie;14;11;Apocalypse 11:10 | Apocalypse 19:0 | Apocalypse 1:10 | Apocalypse 1:20 | Apocalypse 21:0 | Apocalypse 3:8 | Apocalypse 4:2 | Jean 10:0 | Jean 20:21 | Jean 21:20 | Matthieu 16:13;
61-0101;SKN;Les Vingt-quatre Anciens (Apocalypse chapitre Quatre #2);20;18;Apocalypse 20:4 | Apocalypse 21:10 | Apocalypse 2:10 | Apocalypse 3:21 | Daniel 7:0 | Daniel 7:9 | Ezechiel 1:0 | Genese 48:0 | Genese 8:20-22 | Genese 9:0 | Genese 9:13 | Hebreux 13:0 | Hebreux 6:12 | Hebreux 9:23 | Jean 1:5 | Marc 16:0 | Matthieu 17:0 | Matthieu 19:28;
61-0101;VGR;Apocalypse, chapitre quatre, 2e partie;19;17;Apocalypse 20:4 | Apocalypse 21:10 | Apocalypse 2:10 | Apocalypse 3:21 | Daniel 7:0 | Daniel 7:9 | Ezechiel 1:0 | Genese 48:0 | Genese 8:20 | Genese 9:0 | Genese 9:13 | Hebreux 6:12 | Hebreux 9:23 | Jean 1:5 | Marc 16:0 | Matthieu 17:0 | Matthieu 19:28;
61-0108;SKN;Le Trône (Apocalypse chapitre Quatre #3);57;39;Actes 19:0 | Actes 2:38 | Apocalypse 15:0 | Apocalypse 1:0 | Apocalypse 22:0 | Apocalypse 2:5 | Apocalypse 3:0 | Apocalypse 4:0 | Apocalypse 4:1 | Apocalypse 5:0 | Ephesiens 4:30 | Ephesiens 5:0 | Esaie 6:0 | Esaie 9:6 | Exode 19:16 | Exode 25:10 | Genese 1:0 | Genese 3:24 | Genese 49:0 | Genese 4:16 | Jean 14:12 | Jean 15:7 | Levitique 16:0 | Levitique 16:14 | Luc 10:0 | Luc 10:1 | Luc 11:0 | Luc 11:29 | Luc 24:49 | Marc 11:21 | Marc 16:0 | Matthieu 10:0 | Matthieu 10:1 | Matthieu 11:0 | Matthieu 17:0 | Matthieu 1:0 | Matthieu 1:18 | Matthieu 21:0 | Matthieu 28:19;
61-0108;VGR;Apocalypse, chapitre quatre, 3e partie;62;40;Actes 19:0 | Actes 2:38 | Apocalypse 11:13 | Apocalypse 15:0 | Apocalypse 1:0 | Apocalypse 20:4 | Apocalypse 22:0 | Apocalypse 2:5 | Apocalypse 3:0 | Apocalypse 4:0 | Apocalypse 4:1 | Apocalypse 5:0 | Ephesiens 4:30 | Ephesiens 5:0 | Esaie 6:0 | Esaie 9:6 | Exode 19:16 | Exode 25:10 | Genese 1:0 | Genese 3:24 | Genese 49:0 | Genese 4:16 | Jean 14:12 | Jean 15:7 | Levitique 16:0 | Levitique 16:14 | Luc 10:1 | Luc 11:29 | Luc 24:49 | Marc 11:21 | Marc 11:23 | Marc 16:0 | Matthieu 10:0 | Matthieu 10:1 | Matthieu 11:0 | Matthieu 17:0 | Matthieu 1:0 | Matthieu 1:18 | Matthieu 21:0 | Matthieu 28:19;
61-0112;SKN;Questions Et Réponses;19;13;Actes 19:0 | Actes 2:38 | Actes 2:4 | Esaie 28:0 | Hebreux 6:0 | Hebreux 6:1 | Jean 13:0 | Luc 3:0 | Luc 3:14-16 | Malachie 4:0 | Matthieu 18:10 | Matthieu 28:19 | Matthieu 3:0;
61-0112;VGR;Questions et réponses;20;14;Actes 19:0 | Actes 2:38 | Actes 2:4 | Esaie 28:0 | Hebreux 6:0 | Hebreux 6:1 | Jean 13:0 | Luc 1:17 | Luc 3:0 | Luc 3:14-16 | Malachie 4:0 | Matthieu 18:10 | Matthieu 28:19 | Matthieu 3:0;
61-0117;SKN;Le Messie;23;18;2 Timothee 3:0 | Actes 19:0 | Actes 2:38 | Apocalypse 11:0 | Apocalypse 17:0 | Esaie 40:0 | Esaie 9:6 | Ezechiel 1:26 | Genese 1:26 | Hebreux 6:0 | Jean 14:12 | Jean 15:0 | Jean 5:19 | Malachie 4:0 | Malachie 4:5 | Marc 11:24 | Marc 16:0 | Matthieu 24:0;Esaie 9:6 | Genese 3:15
61-0118;SKN;Jésus-Christ Est Le Même Hier, Aujourd’hui Et Éternellement;12;12;1 Corinthiens 12:0 | Actes 10:49 | Apocalypse 11:0 | Esaie 9:0 | Hebreux 13:8 | Jean 14:12 | Jean 4:0 | Jean 5:0 | Jean 5:19 | Jean 6:0 | Marc 16:0 | actes 10:48;
61-0119E;SKN;La Reine de Séba;6;6;Hebreux 13:8 | Jean 5:19 | Malachie 3:0 | Malachie 4:0 | Marc 16:0 | Matthieu 12:42;
61-0119M;SKN;Les Choses N'étaient Pas Ainsi Au Commencement (Il N’en Etait Pas Ainsi Au Commencement);4;4;Actes 2:38 | Galates 1:8 | Jean 14:0 | Jean 15:0;
61-0119M;VGR;Des choses qui n’étaient pas ainsi au commencement;4;4;Actes 2:38 | Galates 1:8 | Jean 14:0 | Jean 15:0;
61-0121;SKN;La Foi de marie;6;3;Esaie 9:5 | Esaie 9:6 | Hebreux 4:0;
61-0122;SKN;Pareil À L'Aigle Qui Eveille Sa Couvée;4;4;Apocalypse 1:0 | Deuteronome 32:11 | Ephesiens 4:30 | Esther 7:7;
61-0123;SKN;N’Ayez Pas Peur, C’est Moi;3;3;Hebreux 13:8 | Jean 14:12 | Matthieu 14:27;
61-0124;SKN;Aveugle Bartimée;3;3;Hebreux 13:0 | Jean 5:19 | Psaumes 22:0;
61-0125;SKN;Pourquoi?;1;1;Psaumes 103:0;
61-0128;SKN;Pourquoi?;8;8;Actes 19:0 | Actes 2:4 | Galates 1:8 | Genese 1:26 | Hebreux 3:0 | Jean 5:24 | Jeremie 8:22 | Psaumes 103:3;
61-0129;SKN;Se tourner vers le nord;3;3;Esaie 40:0 | Exode 19:0 | Jean 5:0;
61-0205E;SKN;Jésus-Christ Est Le Même Hier, Aujourd’hui Et Éternellement;10;7;Genese 1:26 | Hebreux 13:8 | Jean 12:20 | Jean 19:0 | Jean 4:0 | Jean 5:19 | Luc 16:0;
61-0205M;SKN;Expectative;4;3;Actes 4:0 | Esaie 6:9 | Malachie 3:1;
61-0207;SKN;Expectative;4;4;Esaie 35:0 | Esaie 9:5 | Esaie 9:6 | Hebreux 4:0;
61-0208;SKN;Messieurs, Nous Voudrions Voir Jésus;11;10;Apocalypse 17:0 | Deuteronome 18:15 | Exode 19:0 | Hebreux 13:8 | Jean 12:0 | Jean 12:20 | Jean 14:12 | Jean 1:0 | Jean 4:0 | Jean 6:0;
61-0209;SKN;Jéhovah-Jiré;5;5;Actes 2:0 | Exode 19:0 | Galates 3:0 | Genese 12:0 | Jean 15:0;
61-0210;SKN;L’Alliance confirmée d’Abraham;14;13;Actes 19:0 | Actes 2:0 | Daniel 12:0 | Ephesiens 4:30 | Galates 1:8 | Genese 13:14 | Genese 13:16 | Genese 15:0 | Genese 15:5 | Genese 17:1 | Genese 1:11 | Genese 1:26 | Genese 22:14;
61-0211;SKN;Abraham;5;5;Apocalypse 17:0 | Hebreux 4:0 | Jean 5:24 | Matthieu 12:0 | Matthieu 8:0;
61-0212E;SKN;C’est Moi, N’ayez Pas Peur;8;4;Hebreux 13:8 | Jean 4:0 | Jean 5:19 | Matthieu 14:27;1 Timothee 3:16
61-0212M;SKN;Jéhovah-Jiré (Le Fidèle Abraham);4;3;Ezechiel 33:33 | Genese 22:0 | Jean 5:19;Jeremie 1:4
61-0213;SKN;Et Ta Postérité Possédera La Porte De Ses Ennemis;4;4;Galates 3:0 | Hebreux 11:0 | Jean 5:24 | Marc 11:22;
61-0214;SKN;La Base De La Communion;3;3;Hebreux 13:12 | Jean 17:17 | Romains 5:1;
61-0215;SKN;Fils De David, Aie Pitié De Moi (Aveugle Bartimée);1;1;Jean 5:24;
61-0216;SKN;Le Sceau de Dieu;6;6;Genese 1:0 | Genese 3:1 | Genese 4:15 | Hebreux 11:0 | Matthieu 16:0 | Matthieu 24:0;
61-0217;SKN;La Marque de la bête;22;20;1 Corinthiens 13:0 | 1 Jean 5:7 | Actes 19:0 | Apocalypse 14:6 | Apocalypse 17:0 | Apocalypse 7:0 | Daniel 7:9 | Ephesiens 1:13 | Ephesiens 4:30 | Esaie 28:8-12 | Exode 19:0 | Exode 21:6 | Ezechiel 9:0 | Galates 1:8 | Genese 14:0 | Genese 4:15 | Hebreux 4:0 | Jean 17:17 | Jean 5:24 | Matthieu 24:24;
61-0218;SKN;Du Baume En Galaad;2;2;Jean 5:24 | Jeremie 8:22;
61-0219;SKN;La Reine De Séba;7;7;Hebreux 13:8 | Jean 4:0 | Jean 5:0 | Jean 5:19 | Jean 5:24 | Marc 11:23 | Marc 16:0;
61-0224;SKN;N'Ayez Pas Peur;9;7;Actes 10:49 | Jean 4:0 | Jean 5:0 | Jean 5:19 | Jean 5:24 | Jean 6:0 | actes 10:44;
61-0226;SKN;Jéhovah-Jiré;12;7;Genese 12:0 | Genese 12:15 | Genese 15:0 | Genese 17:0 | Genese 1:26 | Genese 22:0 | Genese 22:14;
